,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,"('𐒁', 0.9902575027392695)","('𐒆', 0.9072035607716715)","('𐒀', 0.9101932488902819)","('𐒋', 0.9322187358182333)","('𐒔', 0.9578464293809293)","('𐒄', 0.9404640433139368)","('𐒉', 0.9352039408762056)","('𐒕', 0.9150170631330302)","('𐒈', 0.9193107908771249)","('𐒏', 0.907680011765595)","('𐒑', 0.8991608545264267)","('𐒎', 0.8985814548749687)","('𐒛', 0.8833874997140289)","('𐒐', 0.878798335146118)","('𐒅', 0.8774491060309713)","('𐒘', 0.8774326136009425)","('𐒍', 0.8675589126186997)","('𐒜', 0.8597770391702751)","('𐒌', 0.8424376150709716)","('𐒓', 0.8270724673261034)","('𐒒', 0.8073493080994943)","('𐒂', 0.7809203330538804)","('𐒙', 0.7661253341513028)","('𐒊', 0.7625917377326072)","('𐒝', 0.7605010510224978)","('𐒖', 0.7414949267868656)","('𐒗', 0.6228695038024161)","('𐒚', 0.5528081217998836)","('𐒇', 0.22145271313258008)","('𐒃', 0.0)"
1,"('𐒋', 0.9858359928283955)","('𐒔', 0.9584968775703552)","('𐒒', 0.9227522971699109)","('𐒏', 0.9410455339277973)","('𐒈', 0.9367181955103332)","('𐒀', 0.9725741190911293)","('𐒉', 0.9441047516189265)","('𐒆', 0.925442428383139)","('𐒜', 0.9120877216297397)","('𐒎', 0.9460104921938302)","('𐒁', 0.8953777194414667)","('𐒐', 0.8917873653333708)","('𐒄', 0.8681491162750141)","('𐒑', 0.8537484625722545)","('𐒘', 0.8390808736433434)","('𐒛', 0.8352712918001323)","('𐒕', 0.8268146234668503)","('𐒅', 0.8105167768328175)","('𐒍', 0.7946896400532371)","('𐒖', 0.776374667999983)","('𐒚', 0.7606644855538955)","('𐒂', 0.73183582890826)","('𐒊', 0.7117580397708176)","('𐒙', 0.7093798418056045)","('𐒌', 0.6967250187901408)","('𐒝', 0.6772446690458072)","('𐒓', 0.6453730487096541)","('𐒗', 0.514644937826285)","('𐒇', 0.29478376961742014)","('𐒃', 0.0)"
2,"('𐒔', 0.978949475791487)","('𐒕', 0.9005725686034891)","('𐒀', 0.9232440738806698)","('𐒒', 0.9262187608210789)","('𐒈', 0.9370875412426396)","('𐒋', 0.9126465234459178)","('𐒆', 0.9457054540717957)","('𐒉', 0.8887722445343473)","('𐒎', 0.868014955307009)","('𐒁', 0.8650078857659259)","('𐒜', 0.8567531403813906)","('𐒑', 0.8391044462302135)","('𐒐', 0.8259773486836464)","('𐒏', 0.820443492884692)","('𐒄', 0.8055676395554485)","('𐒅', 0.7836681024268217)","('𐒛', 0.7807646130179834)","('𐒊', 0.7512378190405402)","('𐒍', 0.7323522810513419)","('𐒘', 0.7191732952060585)","('𐒝', 0.7179774243534455)","('𐒌', 0.7046116790977721)","('𐒖', 0.7024022137975912)","('𐒙', 0.6986197068088844)","('𐒓', 0.6430204733641784)","('𐒗', 0.6025382509260513)","('𐒚', 0.5906737735862471)","('𐒂', 0.5897464991338086)","('𐒇', 0.07008100360943081)","('𐒃', 0.0)"
3,"('𐒄', 0.9963105550678429)","('𐒐', 0.9776927981346167)","('𐒜', 0.9113386266885515)","('𐒂', 0.9518370998333665)","('𐒅', 0.9689467272393697)","('𐒆', 0.9188834095714425)","('𐒌', 0.9168062318837249)","('𐒙', 0.9306394849589523)","('𐒍', 0.9812205759553185)","('𐒓', 0.9506542042510834)","('𐒁', 0.918783154730628)","('𐒔', 0.9031153915033837)","('𐒉', 0.9358712473694152)","('𐒈', 0.9159601377041605)","('𐒛', 0.9749437823570777)","('𐒑', 0.9663843429675144)","('𐒖', 0.8988407385738698)","('𐒊', 0.8913732568439935)","('𐒘', 0.8896083291735125)","('𐒕', 0.8848859209303219)","('𐒋', 0.883875765264546)","('𐒀', 0.8809097334166591)","('𐒝', 0.8752704239590205)","('𐒏', 0.8714614751831486)","('𐒎', 0.8339456134936408)","('𐒒', 0.7955089913629461)","('𐒗', 0.7033569419020319)","('𐒚', 0.6659771814573976)","('𐒇', 0.5524265450593597)","('𐒃', 0.0)"
4,"('𐒆', 0.9989604205708731)","('𐒐', 0.9016667662909008)","('𐒀', 0.9435121634979685)","('𐒔', 0.9449731710683008)","('𐒒', 0.9030252030114568)","('𐒉', 0.912400138124997)","('𐒋', 0.8931800707408902)","('𐒈', 0.8891075296989376)","('𐒜', 0.8779200721255728)","('𐒄', 0.8766138032666095)","('𐒎', 0.8708024169159689)","('𐒑', 0.8554964069958679)","('𐒛', 0.8500801022257425)","('𐒁', 0.8468330544953669)","('𐒏', 0.8288384031150309)","('𐒕', 0.8239771523784171)","('𐒝', 0.8128728947799223)","('𐒅', 0.8111985479363084)","('𐒍', 0.8085977761062514)","('𐒙', 0.8004622853722411)","('𐒘', 0.7955180349384909)","('𐒖', 0.7878303933704948)","('𐒊', 0.7745204941755033)","('𐒂', 0.7536515276368304)","('𐒓', 0.7402811476196227)","('𐒚', 0.7236483002504092)","('𐒌', 0.6958056582700546)","('𐒗', 0.5199016292422365)","('𐒇', 0.4068806085330866)","('𐒃', 0.0)"
5,"('𐒊', 0.9992468757004892)","('𐒙', 0.9610322720564894)","('𐒌', 0.9337272744144198)","('𐒖', 0.9106298232440405)","('𐒍', 0.9102286914498536)","('𐒅', 0.9457947473210345)","('𐒈', 0.9138574311645694)","('𐒓', 0.9154710664536241)","('𐒐', 0.9015546100047946)","('𐒑', 0.9494262136685285)","('𐒛', 0.9020192061983232)","('𐒝', 0.9029775817730072)","('𐒕', 0.8911201524638775)","('𐒗', 0.8710203886104353)","('𐒄', 0.8629118593830846)","('𐒜', 0.8585709127414201)","('𐒆', 0.8517066659681015)","('𐒂', 0.8278830395835883)","('𐒔', 0.8227091590772849)","('𐒉', 0.8173562494597005)","('𐒒', 0.7820460172714018)","('𐒋', 0.7680554083725265)","('𐒁', 0.7680465606001544)","('𐒀', 0.7630725094103374)","('𐒏', 0.7012772079175782)","('𐒎', 0.6961113763294259)","('𐒘', 0.6873321175846667)","('𐒚', 0.5962685058796107)","('𐒇', 0.4822660565852339)","('𐒃', 0.0)"
6,"('𐒇', 0.992474733410172)","('𐒖', 0.7934935056390702)","('𐒛', 0.7256224642924831)","('𐒉', 0.7218075536062323)","('𐒂', 0.7191900891359102)","('𐒘', 0.7183749059575577)","('𐒚', 0.6883023203932058)","('𐒍', 0.6807220577326394)","('𐒐', 0.6727511103680253)","('𐒆', 0.6645365790735471)","('𐒀', 0.6632692862546297)","('𐒄', 0.6294614764261961)","('𐒑', 0.6229335551681028)","('𐒒', 0.6063909927482177)","('𐒏', 0.604393748204082)","('𐒋', 0.5887115654770307)","('𐒔', 0.5809608108164201)","('𐒙', 0.5662767479330084)","('𐒊', 0.5492644223012524)","('𐒈', 0.5267503383629264)","('𐒅', 0.5079784143855594)","('𐒜', 0.5012165639846)","('𐒎', 0.4875237730890005)","('𐒁', 0.4491499829808757)","('𐒓', 0.44532546398234196)","('𐒕', 0.4298891672555083)","('𐒝', 0.3891529996016252)","('𐒌', 0.334332404771464)","('𐒗', 0.13401711371956282)","('𐒃', 0.0)"
7,"('𐒘', 0.9816401976206449)","('𐒉', 0.9797297779655982)","('𐒀', 0.9142864786161936)","('𐒔', 0.9183916995213329)","('𐒏', 0.9159584304468235)","('𐒁', 0.9074938582906887)","('𐒄', 0.9005453698033392)","('𐒛', 0.898845552511235)","('𐒋', 0.8982607328025222)","('𐒆', 0.8747466780518585)","('𐒍', 0.8459029383852634)","('𐒑', 0.8250818856362981)","('𐒐', 0.8196294138364677)","('𐒎', 0.8179775771091149)","('𐒈', 0.7979753944156884)","('𐒕', 0.7916840904483304)","('𐒂', 0.7809795385730778)","('𐒒', 0.7703654746326674)","('𐒖', 0.7678994642379192)","('𐒅', 0.7270765712097536)","('𐒜', 0.6991227986956228)","('𐒓', 0.6603927206809803)","('𐒊', 0.6251740075295665)","('𐒌', 0.620276062236838)","('𐒙', 0.6186835474014041)","('𐒚', 0.5749202938656377)","('𐒇', 0.5237864073870284)","('𐒝', 0.5212823148418)","('𐒗', 0.3199175324891079)","('𐒃', 0.0)"
8,"('𐒝', 0.9997860953714625)","('𐒙', 0.9634686267964269)","('𐒓', 0.9305033151262164)","('𐒐', 0.9056797440828217)","('𐒜', 0.9120946808224492)","('𐒅', 0.9160095236454824)","('𐒊', 0.9142033674034731)","('𐒆', 0.891408894140757)","('𐒌', 0.8877431690179824)","('𐒑', 0.881604110251329)","('𐒈', 0.8719058739081792)","('𐒄', 0.8680769365512417)","('𐒍', 0.8498561773873691)","('𐒂', 0.8383438165038151)","('𐒛', 0.8306285612744155)","('𐒔', 0.8230592866889802)","('𐒕', 0.8218958899563494)","('𐒀', 0.7980469963124981)","('𐒖', 0.7965011162998257)","('𐒁', 0.7961109632870703)","('𐒉', 0.7828852607293342)","('𐒎', 0.7821585530269356)","('𐒋', 0.7820578109163053)","('𐒒', 0.7799321569543896)","('𐒗', 0.7732075235160929)","('𐒏', 0.7085997227258971)","('𐒘', 0.6723061485046506)","('𐒚', 0.6714839610894903)","('𐒇', 0.414370216789297)","('𐒃', 0.0)"
9,"('𐒏', 0.9793814789465956)","('𐒋', 0.9881814535430544)","('𐒔', 0.9602189368005362)","('𐒘', 0.9160961439860326)","('𐒉', 0.9781576606511678)","('𐒀', 0.9722223656471233)","('𐒁', 0.9245489724140252)","('𐒎', 0.9293036639012118)","('𐒆', 0.8991868540998169)","('𐒈', 0.8950933419733621)","('𐒄', 0.8785274386109301)","('𐒒', 0.8783306627275758)","('𐒐', 0.8553399054464584)","('𐒛', 0.8503332896480558)","('𐒜', 0.8322912385782354)","('𐒑', 0.8293417205855649)","('𐒕', 0.8125507311724562)","('𐒍', 0.79350583331431)","('𐒅', 0.7596694589603185)","('𐒖', 0.7519396720852917)","('𐒂', 0.7119587234840209)","('𐒚', 0.6857445464054359)","('𐒌', 0.6362897871285702)","('𐒊', 0.6188511792985782)","('𐒙', 0.6076256000694016)","('𐒓', 0.5889612751536575)","('𐒝', 0.5411459720535967)","('𐒗', 0.3985484829408559)","('𐒇', 0.3059625133030054)","('𐒃', 0.0)"
