,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,"('𐒁', 0.9946558245831776)","('𐒄', 0.9335312188736872)","('𐒉', 0.92382910442255)","('𐒋', 0.9237872821125835)","('𐒔', 0.9343524565129848)","('𐒏', 0.9148794918855767)","('𐒈', 0.8992475626222505)","('𐒕', 0.8956324874581959)","('𐒎', 0.8913479585710986)","('𐒀', 0.8909532853246701)","('𐒑', 0.8871402068601492)","('𐒘', 0.8866247936726687)","('𐒆', 0.8736185909575728)","('𐒛', 0.8716763210299123)","('𐒅', 0.8620648923056766)","('𐒍', 0.8597520424735435)","('𐒐', 0.8555403773493452)","('𐒌', 0.8350676437766322)","('𐒜', 0.8327165354681348)","('𐒓', 0.8168283838637896)","('𐒂', 0.7750549119696928)","('𐒒', 0.7688240471024251)","('𐒙', 0.7359849771125908)","('𐒊', 0.7290757765090556)","('𐒖', 0.7275048948038288)","('𐒝', 0.7223371104766205)","('𐒗', 0.6020339603479345)","('𐒚', 0.5274680842124704)","('𐒇', 0.21555478476823842)","('𐒃', 0.0)"
1,"('𐒎', 0.9525809709125799)","('𐒁', 0.9034824486971559)","('𐒆', 0.9013226299202836)","('𐒀', 0.9734290523624269)","('𐒉', 0.9504935954825924)","('𐒋', 0.9926543730355271)","('𐒈', 0.9106607549322391)","('𐒔', 0.9425519919910336)","('𐒏', 0.9710273660335368)","('𐒒', 0.8929543343609612)","('𐒜', 0.8813483971273843)","('𐒘', 0.8753956093844882)","('𐒐', 0.8722521665414089)","('𐒄', 0.8665267036878956)","('𐒑', 0.8376156281472714)","('𐒛', 0.8282459647096063)","('𐒕', 0.7915793222992068)","('𐒍', 0.7871406299084968)","('𐒅', 0.7800627977905947)","('𐒖', 0.7690564420270506)","('𐒚', 0.7605632324554182)","('𐒂', 0.7334944562246244)","('𐒙', 0.6608386626010994)","('𐒌', 0.6581131414132383)","('𐒊', 0.6526700342779754)","('𐒝', 0.6123327482195926)","('𐒓', 0.612328658191257)","('𐒗', 0.44395250522134266)","('𐒇', 0.32547924366431624)","('𐒃', 0.0)"
2,"('𐒎', 0.9188103175721123)","('𐒆', 0.9471371638828889)","('𐒁', 0.9112401109523122)","('𐒔', 0.9862854267214484)","('𐒀', 0.9497040043574271)","('𐒒', 0.9219473955793281)","('𐒈', 0.9536343961599115)","('𐒉', 0.9161044690723533)","('𐒋', 0.954772214968508)","('𐒕', 0.897005828861066)","('𐒏', 0.8828163169687187)","('𐒜', 0.8811356331324495)","('𐒑', 0.858370979952531)","('𐒐', 0.8477467427976529)","('𐒄', 0.8411132650097448)","('𐒅', 0.8049393383441721)","('𐒛', 0.8028294693905682)","('𐒘', 0.7726127479222308)","('𐒍', 0.7588652462566224)","('𐒊', 0.73647826977506)","('𐒌', 0.725712162433509)","('𐒖', 0.722479365237003)","('𐒝', 0.713125575927764)","('𐒙', 0.7012922074009883)","('𐒓', 0.6626475253473951)","('𐒂', 0.6327108239836787)","('𐒚', 0.6290324548337765)","('𐒗', 0.5908081619450818)","('𐒇', 0.09882319743897794)","('𐒃', 0.0)"
3,"('𐒄', 0.9956120972181813)","('𐒙', 0.9291839860052541)","('𐒓', 0.9502446957993718)","('𐒐', 0.9758548457743307)","('𐒆', 0.9215074577263075)","('𐒜', 0.9177404636085145)","('𐒌', 0.9154629920471148)","('𐒅', 0.9670030793501982)","('𐒂', 0.9496400296711203)","('𐒁', 0.9270058584960448)","('𐒍', 0.9754897090358405)","('𐒔', 0.9068718523886252)","('𐒈', 0.9187417060918283)","('𐒉', 0.9348650546093364)","('𐒑', 0.9658100899843141)","('𐒛', 0.9663373452211227)","('𐒋', 0.8924564197214542)","('𐒖', 0.8914619013958098)","('𐒘', 0.8898289485268537)","('𐒀', 0.88805201094068)","('𐒊', 0.884482413105494)","('𐒕', 0.8827354519058155)","('𐒝', 0.8813555090097401)","('𐒏', 0.8793833717711066)","('𐒎', 0.848540260488791)","('𐒒', 0.7977931092069577)","('𐒗', 0.699409662065697)","('𐒚', 0.673544999225689)","('𐒇', 0.5368642962809245)","('𐒃', 0.0)"
4,"('𐒆', 0.9980196476200311)","('𐒐', 0.9077975718585687)","('𐒀', 0.9496976346263)","('𐒔', 0.9413225394681211)","('𐒉', 0.9158354201716494)","('𐒋', 0.9010932928536382)","('𐒒', 0.8918835102103457)","('𐒄', 0.8892922799319949)","('𐒎', 0.88546198631889)","('𐒈', 0.8844163457525254)","('𐒜', 0.883772463741009)","('𐒑', 0.859976590874808)","('𐒁', 0.859824333581505)","('𐒛', 0.8525123928095688)","('𐒏', 0.8457916676402268)","('𐒝', 0.8201156204288109)","('𐒍', 0.8179126886535902)","('𐒅', 0.815464482607569)","('𐒘', 0.8143412487241776)","('𐒕', 0.812241097714907)","('𐒙', 0.806692398239435)","('𐒖', 0.7917881959268055)","('𐒂', 0.7775364948090587)","('𐒊', 0.764333400249575)","('𐒓', 0.754879055347825)","('𐒚', 0.7391808771687579)","('𐒌', 0.6991782593007101)","('𐒗', 0.5058268620911066)","('𐒇', 0.4318382852442798)","('𐒃', 0.0)"
5,"('𐒝', 0.9047864186761938)","('𐒙', 0.9601117516080083)","('𐒓', 0.9283552462995044)","('𐒊', 0.998811550471113)","('𐒅', 0.9528542281339112)","('𐒌', 0.9517521826919203)","('𐒍', 0.9128873500186638)","('𐒖', 0.9052297218545351)","('𐒈', 0.9174285476312848)","('𐒑', 0.9541357639487399)","('𐒛', 0.9012581075230913)","('𐒕', 0.8987735356763803)","('𐒐', 0.8965483110521382)","('𐒗', 0.8873105522413259)","('𐒄', 0.8671535845644734)","('𐒜', 0.8567393071894627)","('𐒆', 0.8428693682873787)","('𐒂', 0.8267387787919858)","('𐒔', 0.820069811050582)","('𐒉', 0.814171291058785)","('𐒁', 0.7828031086324213)","('𐒋', 0.7697014693709915)","('𐒒', 0.7687126839455791)","('𐒀', 0.7569228653196313)","('𐒏', 0.706945235438678)","('𐒎', 0.700741112432695)","('𐒘', 0.6895371118267892)","('𐒚', 0.5782878673869065)","('𐒇', 0.45733281769806533)","('𐒃', 0.0)"
6,"('𐒇', 0.9986609404441174)","('𐒖', 0.8019364237589396)","('𐒘', 0.7409383551038602)","('𐒂', 0.7380886021266841)","('𐒉', 0.7337393870499573)","('𐒛', 0.731775797337997)","('𐒚', 0.7089807102407306)","('𐒍', 0.6915614114251262)","('𐒐', 0.6844548139111281)","('𐒀', 0.6774127223660472)","('𐒆', 0.6643196820839468)","('𐒄', 0.6446468721538667)","('𐒏', 0.63496152554339)","('𐒑', 0.6324254659878628)","('𐒋', 0.6100379467814004)","('𐒒', 0.6073891241725327)","('𐒔', 0.5859659452729011)","('𐒙', 0.56598027083467)","('𐒊', 0.5383046842831252)","('𐒈', 0.535155502058588)","('𐒅', 0.5177552221681445)","('𐒜', 0.517495277121738)","('𐒎', 0.5117540357808542)","('𐒁', 0.4684497000997899)","('𐒓', 0.449511607778733)","('𐒕', 0.42657742432058854)","('𐒝', 0.3846457114865546)","('𐒌', 0.34089302847635794)","('𐒗', 0.1270517581505397)","('𐒃', 0.0)"
7,"('𐒄', 0.9204432631843418)","('𐒉', 0.9750107208549017)","('𐒁', 0.915105227542622)","('𐒀', 0.913444008998506)","('𐒘', 0.9916209351397198)","('𐒛', 0.905666526167597)","('𐒋', 0.9233760396828647)","('𐒏', 0.9615065740395473)","('𐒔', 0.890661438493892)","('𐒍', 0.8669500925998372)","('𐒐', 0.8525650346758987)","('𐒎', 0.8523748835970468)","('𐒆', 0.8472205942744566)","('𐒑', 0.8410932116656528)","('𐒂', 0.8277818087536494)","('𐒈', 0.8166177846108478)","('𐒖', 0.8010962154178032)","('𐒅', 0.765895375791599)","('𐒕', 0.7648328752025735)","('𐒒', 0.759868999659082)","('𐒜', 0.7531708885732811)","('𐒓', 0.6752510887433995)","('𐒌', 0.6565241577105096)","('𐒚', 0.6426975341944513)","('𐒙', 0.6391107251442318)","('𐒊', 0.6201638624453196)","('𐒇', 0.5495731897177101)","('𐒝', 0.5269198905109718)","('𐒗', 0.35174678913531376)","('𐒃', 0.0)"
8,"('𐒝', 0.9986629020745265)","('𐒙', 0.9535238174200696)","('𐒓', 0.9198180674970973)","('𐒜', 0.9144757808917414)","('𐒅', 0.9104565305009308)","('𐒊', 0.906322048139115)","('𐒐', 0.8946340664363799)","('𐒌', 0.8869238861390043)","('𐒆', 0.8840891027259837)","('𐒈', 0.8746344123916533)","('𐒑', 0.8739295356138024)","('𐒄', 0.8551729066459884)","('𐒍', 0.8326496728533659)","('𐒕', 0.8208336059929238)","('𐒔', 0.8198468807355302)","('𐒂', 0.8168836842027503)","('𐒛', 0.8123633301638397)","('𐒁', 0.795472539420537)","('𐒀', 0.7936706453790813)","('𐒎', 0.7879025345114812)","('𐒋', 0.7826363753587127)","('𐒗', 0.781986720623464)","('𐒖', 0.7800252915848666)","('𐒒', 0.7793212578456641)","('𐒉', 0.7707206139242246)","('𐒏', 0.7054826328620543)","('𐒚', 0.6658417034186488)","('𐒘', 0.6542015783871948)","('𐒇', 0.3692359641815519)","('𐒃', 0.0)"
9,"('𐒎', 0.9282120250407034)","('𐒁', 0.9165796391661634)","('𐒀', 0.9451937355716675)","('𐒉', 0.9490676739607027)","('𐒋', 0.9799535581016482)","('𐒔', 0.9151725792800762)","('𐒏', 0.9964958438624811)","('𐒘', 0.9157032161696648)","('𐒈', 0.8538625005038986)","('𐒄', 0.8448088467876864)","('𐒆', 0.8361065437565194)","('𐒒', 0.8235194338163719)","('𐒐', 0.8051417768955919)","('𐒛', 0.801903327981165)","('𐒜', 0.7911004046495269)","('𐒑', 0.783759800013019)","('𐒕', 0.753799611024033)","('𐒍', 0.7478128325716276)","('𐒅', 0.7083263745859301)","('𐒖', 0.7058880940067135)","('𐒂', 0.6726958637250726)","('𐒚', 0.6652247772831543)","('𐒌', 0.5844662476528164)","('𐒊', 0.5235685248273148)","('𐒙', 0.5230872562151871)","('𐒓', 0.5229265232009926)","('𐒝', 0.44755372575753616)","('𐒗', 0.32781883687928415)","('𐒇', 0.2632631700394725)","('𐒃', 0.0)"
